geo	year	month	backing_unsafely_mtd	brake_lights_defect_or_improper_mtd	bus_lane_driving_in_mtd	cell_phone_mtd	commercial_veh_on_pkwy_mtd	defective_brakes_mtd	disobey_sign_mtd	equipment_other_mtd	fail_to_keep_right_mtd	fail_to_signal_mtd	fail_to_stop_on_signal_mtd	following_too_closely_mtd	headlights_defect_or_improper_mtd	improper_lights_mtd	improper_passing_mtd	improper_turn_mtd	improper_missing_plates_mtd	not_giving_r_of_w_to_pedes_mtd	not_giving_r_of_w_to_veh_mtd	one_way_street_mtd	pavement_markings_mtd	safety_belt_mtd	school_bus_passing_stopped_mtd	speeding_mtd	spillback_mtd	tinted_windows_mtd	truck_routes_mtd	u_turn_mtd	uninspected_mtd	uninsured_mtd	unlicensed_operator_mtd	unregistered_mtd	unsafe_lane_change_mtd	other_movers_mtd	total_movers_mtd	backing_unsafely_ytd	brake_lights_defect_or_improper_ytd	bus_lane_driving_in_ytd	cell_phone_ytd	commercial_veh_on_pkwy_ytd	defective_brakes_ytd	disobey_sign_ytd	equipment_other_ytd	fail_to_keep_right_ytd	fail_to_signal_ytd	fail_to_stop_on_signal_ytd	following_too_closely_ytd	headlights_defect_or_improper_ytd	improper_lights_ytd	improper_passing_ytd	improper_turn_ytd	improper_missing_plates_ytd	not_giving_r_of_w_to_pedes_ytd	not_giving_r_of_w_to_veh_ytd	one_way_street_ytd	pavement_markings_ytd	safety_belt_ytd	school_bus_passing_stopped_ytd	speeding_ytd	spillback_ytd	tinted_windows_ytd	truck_routes_ytd	u_turn_ytd	uninspected_ytd	uninsured_ytd	unlicensed_operator_ytd	unregistered_ytd	unsafe_lane_change_ytd	other_movers_ytd	total_movers_ytd
25th Precinct	2011	8	0	2	0	117	0	0	1	0	0	0	1	0	7	0	0	48	0	1	0	3	41	139	0	0	0	7	26	0	1	6	5	2	0	17	424	4	487	0	993	0	15	265	0	0	5	176	1	225	10	2	421	1	101	2	190	135	1266	59	0	2	70	206	4	16	172	163	27	5	391	5414
26th Precinct	2011	8	0	12	0	88	0	0	25	6	2	6	65	0	18	0	0	26	0	20	1	2	6	65	0	3	8	10	1	8	2	16	15	1	0	15	421	7	189	0	1119	5	0	706	37	9	49	348	1	157	0	2	312	12	135	46	34	154	559	50	5	84	194	37	67	14	368	213	32	19	364	5328
28th Precinct	2011	8	0	0	0	90	0	0	41	0	1	3	41	0	0	0	0	6	0	15	0	0	3	93	0	0	0	2	6	5	0	5	6	1	1	46	365	15	13	0	1008	0	1	829	7	3	34	260	4	11	0	1	34	7	161	5	26	61	894	30	9	34	250	213	367	7	195	200	33	32	461	5205
30th Precinct	2011	8	0	12	0	160	0	0	24	13	0	13	17	0	6	0	1	32	0	18	2	1	26	130	0	2	0	0	15	1	0	11	20	0	2	4	510	9	248	0	1019	0	25	701	70	0	286	278	2	133	2	9	361	15	99	5	27	119	1055	41	13	14	59	211	63	26	170	316	44	27	258	5705
32nd Precinct	2011	8	1	14	0	225	0	0	15	10	3	6	22	7	25	0	0	21	0	9	2	9	3	162	0	0	8	48	23	1	6	28	21	8	5	22	704	31	214	0	1841	0	2	120	83	13	71	271	34	195	1	6	128	12	65	21	49	74	1215	45	13	72	588	319	15	39	232	186	62	50	197	6264
33rd Precinct	2011	8	1	9	0	131	1	0	28	1	2	0	0	0	47	0	1	7	1	16	0	2	0	111	0	3	1	21	9	1	1	25	24	9	0	13	465	13	140	0	1172	4	18	489	44	4	43	165	4	274	2	11	190	20	41	4	18	35	847	34	94	29	186	356	40	32	293	260	86	18	131	5097
34th Precinct	2011	8	6	9	1	123	0	2	63	12	1	1	29	0	5	2	3	85	0	17	2	2	20	148	0	5	1	137	3	2	5	25	18	3	1	28	759	10	367	1	788	0	8	214	171	7	21	193	4	156	61	10	225	10	86	15	12	162	967	41	12	12	852	62	25	19	211	184	48	16	470	5440
40th Precinct	2011	8	1	0	0	95	0	0	89	0	5	16	108	0	0	0	5	71	0	1	11	0	60	116	0	1	0	48	0	0	1	58	63	3	5	69	826	17	3	0	985	1	2	895	0	24	112	345	2	8	0	39	565	2	5	30	16	154	1422	18	1	14	377	15	42	23	877	823	77	24	733	7651
41st Precinct	2011	8	1	19	0	49	0	0	124	1	0	5	20	0	22	1	1	24	1	0	1	1	7	71	0	15	1	30	4	0	2	61	34	7	0	4	506	9	199	0	440	0	13	1254	9	1	56	240	1	342	39	10	265	35	24	14	25	76	893	10	126	15	329	89	44	37	698	440	115	13	145	6006
42nd Precinct	2011	8	1	4	0	105	0	0	37	2	0	7	48	0	1	1	0	50	1	0	1	0	5	131	4	1	0	85	3	31	6	35	36	9	0	9	613	14	58	0	993	0	3	429	5	1	17	634	3	45	30	6	1160	3	17	23	6	115	1006	109	192	18	991	19	50	43	338	441	111	11	125	7016
43rd Precinct	2011	8	4	10	0	30	0	0	44	5	0	36	23	2	34	1	2	71	0	5	0	2	11	120	0	0	11	56	4	7	3	15	130	9	33	13	681	52	341	0	519	27	2	459	30	18	295	419	12	442	15	15	655	23	33	4	33	154	956	14	79	121	505	44	71	59	400	638	118	239	104	6896
44th Precinct	2011	8	1	8	0	61	0	0	124	17	5	1	5	0	3	0	0	33	17	0	0	1	6	248	0	5	12	62	1	8	5	46	65	32	0	12	778	21	376	0	886	1	6	1528	348	11	86	194	4	245	4	6	128	89	22	22	35	96	1700	10	114	39	748	7	61	48	611	641	193	9	94	8383
45th Precinct	2011	8	0	18	0	74	0	0	26	0	0	4	12	0	11	1	0	1	0	0	0	4	3	75	0	48	0	43	0	2	1	42	46	3	1	40	455	2	138	0	681	9	3	680	1	3	33	221	0	142	2	2	87	2	9	5	38	104	943	32	227	2	426	1	21	18	410	458	46	39	299	5084
46th Precinct	2011	8	3	9	0	87	0	0	121	2	0	4	9	0	2	0	0	16	0	1	0	0	5	75	0	0	5	116	0	1	11	63	34	8	0	12	584	83	471	0	1220	0	4	1740	42	1	125	488	6	337	8	18	301	73	52	18	23	79	1103	6	56	14	1366	20	52	38	945	666	176	44	423	9998
47th Precinct	2011	8	0	6	0	39	0	0	5	0	2	0	2	0	2	0	0	2	0	0	1	0	1	193	0	0	0	109	0	0	6	82	34	9	0	3	496	13	55	0	597	0	0	419	0	8	20	105	1	40	0	10	321	0	7	21	28	21	1899	2	43	0	947	0	6	45	1109	599	146	21	630	7113
48th Precinct	2011	8	0	0	0	223	0	0	41	0	0	0	9	1	2	0	0	13	0	4	0	1	2	137	0	153	8	121	2	5	0	6	43	3	0	5	779	8	408	5	1627	0	7	327	0	0	21	127	17	217	7	14	175	2	49	13	9	35	1353	9	1171	171	941	65	104	13	240	598	94	8	165	8000
49th Precinct	2011	8	3	13	0	55	0	0	145	0	0	0	2	1	5	0	0	28	0	6	0	0	0	82	0	4	0	70	16	1	3	34	63	5	0	2	538	7	320	0	646	0	0	1265	0	7	0	95	8	238	0	5	344	0	57	15	8	0	838	3	59	53	858	174	1	55	796	730	164	14	302	7062
50th Precinct	2011	8	1	16	0	102	0	0	19	1	1	2	0	0	13	0	0	2	1	0	0	2	1	46	0	8	0	12	1	1	1	101	15	2	0	14	362	4	419	0	1006	1	9	77	108	2	74	40	2	422	2	0	35	21	0	2	4	16	874	2	18	1	128	2	15	5	609	218	51	8	128	4303
52nd Precinct	2011	8	1	6	0	119	0	0	25	0	0	3	3	0	7	0	2	95	0	0	0	0	22	66	0	2	0	119	8	1	1	16	79	12	1	10	598	20	340	0	1087	0	0	560	48	1	103	138	3	582	10	11	1030	41	5	16	19	320	834	8	74	22	1398	38	187	57	439	912	178	38	233	8752
60th Precinct	2011	8	0	5	0	82	0	0	123	0	0	6	8	0	9	0	0	9	0	0	0	1	7	53	0	0	0	92	0	2	1	18	22	2	0	10	450	18	63	0	1503	0	0	1120	0	10	107	222	4	40	3	8	212	0	87	41	23	290	975	26	93	2	756	3	19	4	295	311	37	32	86	6390
61st Precinct	2011	8	0	12	0	163	0	0	14	4	0	5	6	0	13	0	0	1	0	7	2	1	4	193	0	0	0	20	0	2	1	44	17	1	0	8	518	7	88	0	1568	0	0	232	73	1	79	137	1	118	1	21	11	13	150	9	15	36	2540	14	108	5	482	111	7	10	434	217	42	10	177	6717
62nd Precinct	2011	8	0	15	0	194	0	0	94	1	0	6	26	0	14	0	4	1	5	15	2	0	96	249	0	1	0	61	1	2	0	46	63	8	0	24	928	2	145	0	1823	17	3	1397	7	3	88	423	4	76	1	17	15	31	78	23	13	710	2007	16	69	6	683	79	38	13	567	531	81	5	93	9064
63rd Precinct	2011	8	0	19	0	109	0	1	277	0	0	22	15	0	36	0	3	3	0	2	2	0	5	46	1	0	0	26	4	1	0	27	29	6	0	38	672	11	36	0	1279	0	1	2148	0	2	46	272	10	49	0	19	70	10	53	18	3	69	1308	13	47	4	739	40	5	10	164	301	61	16	399	7203
66th Precinct	2011	8	1	29	0	99	0	0	64	0	0	8	13	0	17	0	0	2	0	1	0	0	0	136	2	7	0	30	19	3	3	57	32	11	0	1	535	2	99	0	1390	5	1	670	1	0	68	256	1	39	0	3	72	8	123	4	8	15	2139	23	110	1	300	208	3	8	618	385	59	2	65	6686
67th Precinct	2011	8	0	47	0	76	0	0	11	0	0	3	17	0	33	0	1	1	3	1	0	2	8	166	0	2	2	5	0	7	6	42	42	5	1	1	482	6	261	0	1066	0	0	138	22	0	90	254	1	312	5	19	12	66	25	11	14	79	2280	14	28	12	1132	22	86	56	603	466	171	16	211	7478
68th Precinct	2011	8	0	22	0	82	11	0	92	0	0	0	11	1	25	0	0	3	0	9	5	2	0	80	0	0	4	26	15	3	1	50	44	3	2	28	519	3	95	0	1183	28	0	918	0	3	29	222	1	126	0	17	69	5	68	16	13	4	1325	28	11	11	240	78	24	5	477	449	41	9	165	5663
69th Precinct	2011	8	0	55	0	163	0	0	43	4	0	1	12	0	33	0	12	4	0	3	2	0	1	130	0	15	0	58	1	1	2	64	34	13	0	7	658	12	177	0	1568	0	4	756	19	0	1	182	2	70	8	66	53	11	38	8	4	91	1487	6	84	1	769	2	1	13	548	315	95	0	37	6428
70th Precinct	2011	8	0	0	0	187	0	0	39	13	0	2	26	0	0	45	0	50	0	6	4	0	0	235	1	0	8	76	0	0	5	119	57	60	34	1	968	21	0	0	2527	0	0	741	39	1	6	379	2	2	241	25	696	3	120	86	24	0	2902	23	14	127	506	22	3	58	709	614	271	119	43	10324
71st Precinct	2011	8	4	118	0	218	0	0	309	5	0	27	49	1	54	0	1	50	6	6	3	1	60	134	0	2	8	54	0	3	8	87	79	13	1	18	1319	36	898	4	1671	1	2	2404	30	0	186	400	4	889	24	41	252	45	56	40	31	432	993	21	20	45	499	6	61	49	878	633	166	18	166	11001
72nd Precinct	2011	8	0	32	0	29	0	9	14	0	0	6	23	0	19	0	0	8	1	0	0	0	5	45	0	5	0	7	0	2	1	19	31	2	0	17	275	6	303	0	454	0	17	285	65	9	89	164	1	152	0	8	179	23	25	2	10	35	472	14	98	3	218	7	21	13	258	356	74	16	34	3411
73rd Precinct	2011	8	2	14	0	147	0	0	54	3	0	4	21	0	13	0	1	23	10	2	2	1	39	65	0	15	5	24	0	0	7	61	34	6	0	14	567	15	553	1	1998	0	1	924	44	2	281	403	5	302	0	60	225	91	95	69	31	337	1037	9	98	103	938	3	0	99	1257	829	143	10	113	10076
75th Precinct	2011	8	2	48	0	71	0	0	27	3	1	15	28	0	45	1	9	1	0	4	0	4	3	294	0	2	0	166	4	0	21	162	104	40	1	464	1520	41	144	0	1217	0	0	1037	4	8	400	407	9	91	213	75	66	11	29	2	51	186	2589	32	35	22	2082	36	37	321	1776	1157	466	33	3216	15793
76th Precinct	2011	8	0	10	0	195	0	0	1	1	0	3	5	0	14	0	0	7	3	0	0	3	9	109	0	0	0	56	0	0	5	13	12	3	0	11	460	8	98	0	1897	0	0	45	12	0	114	142	2	131	0	9	234	13	18	0	99	138	1367	2	23	2	147	22	2	19	160	163	24	8	58	4957
77th Precinct	2011	8	5	11	0	174	0	0	72	1	0	8	58	2	15	0	0	1	4	3	3	2	14	131	0	8	2	5	2	1	2	33	42	8	5	6	618	28	310	0	1395	0	5	756	74	0	108	471	11	298	1	11	29	28	17	28	36	76	1095	14	37	48	164	11	12	31	425	436	164	43	129	6291
78th Precinct	2011	8	1	5	0	70	0	0	37	3	0	5	24	0	14	0	1	7	1	0	0	2	6	80	0	3	7	29	0	1	0	16	13	3	42	6	376	17	43	0	1122	0	5	263	15	1	192	520	0	67	0	11	39	6	28	5	22	117	796	7	78	34	460	16	29	8	174	176	18	278	215	4762
79th Precinct	2011	8	3	22	0	68	0	0	231	0	0	0	15	1	19	0	0	68	5	1	1	2	3	47	0	13	3	24	4	12	9	30	51	22	0	12	666	40	397	0	1297	0	0	1693	24	1	45	405	8	247	7	71	456	55	65	21	61	163	736	28	108	31	439	97	113	88	485	460	241	8	90	7980
81st Precinct	2011	8	0	22	0	155	0	0	10	2	0	3	6	0	14	0	1	4	0	6	0	2	0	112	0	0	13	47	2	0	3	42	36	13	1	9	503	33	170	0	1820	0	3	370	12	3	112	225	2	135	0	19	91	5	72	9	33	44	1022	19	27	66	381	39	5	21	447	389	104	10	58	5746
83rd Precinct	2011	8	2	37	0	80	0	0	124	4	0	13	18	1	29	4	1	5	2	2	0	5	0	64	1	0	0	43	26	0	0	53	101	15	0	2	632	24	484	0	1134	0	4	1232	82	13	125	252	8	363	60	13	35	74	18	12	74	56	1361	18	6	9	568	145	3	25	641	766	176	7	49	7837
84th Precinct	2011	8	0	6	0	107	0	1	27	0	0	26	4	0	5	0	1	114	0	4	0	14	65	156	0	9	9	44	9	3	6	62	50	5	0	48	775	0	51	0	1127	3	9	869	0	4	325	101	5	47	0	64	1176	0	51	7	154	516	1050	6	27	88	473	82	27	73	698	426	109	0	446	8014
88th Precinct	2011	8	0	9	0	176	0	0	146	0	0	1	34	1	16	0	0	23	5	1	0	1	20	115	0	4	0	13	1	0	1	49	35	17	0	6	674	14	84	0	1795	9	0	1184	0	0	46	278	1	132	0	11	184	14	4	2	27	132	1095	0	23	37	221	15	3	18	525	351	102	8	79	6394
90th Precinct	2011	8	2	32	0	110	1	0	32	8	0	4	75	0	12	1	0	0	1	0	0	29	1	140	0	0	1	10	51	2	1	73	36	9	1	38	670	21	190	1	1726	4	4	867	78	6	88	467	3	145	19	36	52	1	8	11	132	27	1475	10	11	16	209	279	15	43	705	407	70	2	351	7479
94th Precinct	2011	8	1	26	0	202	0	0	80	4	0	6	50	0	16	0	5	78	1	3	3	0	19	103	0	19	1	22	24	1	0	29	62	4	0	4	763	10	197	0	1914	0	18	1006	46	3	49	462	10	199	0	33	513	14	5	11	7	201	969	3	183	14	460	126	11	6	247	402	56	10	85	7270
100th Precinct	2011	8	0	15	0	76	0	0	35	0	0	0	4	0	16	0	12	5	0	1	0	0	16	106	0	8	0	18	1	0	7	24	64	4	0	14	426	1	62	0	812	0	0	404	0	1	5	139	4	48	1	60	158	4	7	8	4	139	765	15	108	2	243	17	1	30	199	561	32	0	75	3905
101st Precinct	2011	8	2	35	0	97	0	0	31	7	0	1	5	0	30	1	2	1	0	2	0	2	8	65	0	0	0	5	1	0	3	76	56	7	0	5	442	12	267	0	951	0	2	375	68	1	51	193	1	248	9	33	16	17	31	6	39	129	968	14	69	1	164	21	3	72	821	599	67	2	33	5283
102nd Precinct	2011	8	0	60	0	65	0	0	116	0	0	3	9	0	49	2	1	30	1	4	1	2	13	125	0	8	0	35	4	3	12	103	39	13	0	7	705	7	230	0	895	0	2	1340	0	0	18	221	1	178	38	26	198	16	78	9	36	34	1313	11	104	2	478	42	8	45	881	395	108	4	109	6827
103rd Precinct	2011	8	3	32	0	89	0	0	367	0	0	3	13	0	38	4	0	21	1	3	2	2	12	158	0	0	11	475	1	18	8	33	75	12	2	37	1420	15	250	0	1249	0	0	3671	0	3	91	221	1	164	42	12	224	60	56	38	45	208	1734	13	49	99	4004	129	458	89	744	872	153	42	452	15188
104th Precinct	2011	8	0	1	0	101	0	0	60	0	0	1	7	0	0	0	2	2	0	12	0	1	2	158	0	0	0	65	35	0	0	56	61	0	2	54	620	8	1	0	1171	0	0	651	0	0	11	201	4	0	0	46	14	0	100	9	2	54	1602	18	121	2	698	358	2	0	540	598	0	3	777	6991
105th Precinct	2011	8	1	113	0	208	0	0	65	0	0	8	17	1	41	0	5	15	0	0	0	5	66	333	0	11	0	148	69	3	46	209	85	15	0	72	1536	3	759	0	1365	0	5	541	0	9	103	218	3	367	9	51	143	1	23	3	32	457	2758	26	261	1	1713	216	29	343	1728	602	138	0	473	12380
106th Precinct	2011	8	0	0	0	42	0	0	44	0	0	0	50	0	0	64	3	58	0	0	0	1	12	150	0	2	1	76	22	0	10	101	58	9	2	26	731	12	0	0	681	0	0	609	0	2	0	646	6	0	787	33	876	0	28	18	17	107	1587	11	92	8	952	112	0	58	1107	541	127	54	355	8826
107th Precinct	2011	8	1	67	0	102	0	0	36	3	0	5	10	0	13	3	0	129	0	1	1	0	7	207	0	3	0	53	0	0	4	52	34	2	0	2	735	5	410	0	2008	0	0	578	24	5	33	176	4	71	56	36	1310	1	49	26	8	68	2683	11	188	2	1104	1	2	21	482	655	30	18	71	10136
108th Precinct	2011	8	0	32	0	148	0	0	135	0	0	2	37	0	14	0	0	70	0	7	2	3	10	143	0	26	14	29	1	0	3	51	45	4	1	15	792	3	192	0	1775	0	8	1711	13	1	49	492	1	35	0	1	875	0	155	26	30	117	1974	14	193	44	280	129	1	41	762	537	59	16	274	9808
109th Precinct	2011	8	0	11	0	323	0	0	242	16	0	22	76	0	8	2	1	14	8	16	2	2	18	289	0	13	4	114	27	3	7	25	82	3	2	23	1353	13	142	0	3256	0	0	2931	104	9	127	970	5	158	2	19	269	62	236	71	34	115	3508	44	114	12	873	247	51	55	440	836	64	40	216	15023
110th Precinct	2011	8	0	7	0	238	0	0	30	0	0	11	16	0	4	6	0	1	5	42	2	7	15	393	2	436	3	50	31	1	4	62	87	8	0	15	1476	9	147	0	1774	0	1	579	5	0	144	241	7	87	31	6	2	38	291	10	79	53	2989	14	2802	13	485	144	10	32	604	804	74	8	167	11650
111th Precinct	2011	8	0	3	0	298	0	0	19	6	0	14	10	0	2	0	4	3	3	1	0	1	5	228	0	3	2	75	0	0	6	44	58	8	1	17	811	3	13	0	2635	0	0	389	18	0	67	193	5	14	44	10	28	17	38	0	19	300	3282	11	86	8	868	57	23	95	473	509	53	15	189	9462
112th Precinct	2011	8	0	2	0	187	0	0	169	1	0	5	17	1	4	0	3	1	2	3	0	5	5	391	1	24	0	29	0	3	1	53	47	5	2	6	967	6	69	0	1384	0	2	1353	68	5	47	351	3	39	0	30	11	19	84	13	52	33	3226	33	111	6	389	80	33	19	545	498	47	10	98	8664
113th Precinct	2011	8	0	100	0	68	0	0	109	0	0	2	22	0	19	7	4	147	0	0	0	0	24	68	0	7	0	50	11	0	6	123	88	9	0	41	905	2	479	0	1121	0	6	1303	3	0	2	262	4	159	181	28	1677	3	2	14	0	341	1149	27	69	3	1083	139	0	172	1347	936	183	0	347	11042
114th Precinct	2011	8	1	0	0	140	0	0	253	5	0	4	34	0	0	15	0	1	4	6	2	2	5	147	0	18	0	64	5	0	0	31	49	5	0	26	817	8	0	1	2545	0	0	1865	214	3	130	493	3	0	126	7	48	10	147	9	58	151	2242	8	235	17	616	119	0	23	526	529	34	2	352	10521
115th Precinct	2011	8	0	0	0	330	0	0	12	0	2	2	71	0	0	82	4	1	0	14	3	40	7	268	0	1	0	145	43	4	6	161	191	7	0	165	1559	20	0	0	2249	0	0	368	3	4	181	543	6	0	936	37	58	12	273	35	128	73	2688	15	37	17	1016	160	119	80	1826	1809	112	0	1047	13852
120th Precinct	2011	8	1	66	0	60	0	0	61	47	2	7	15	0	16	0	0	3	6	0	3	1	19	72	0	38	0	77	0	0	7	72	84	16	1	14	688	13	795	0	2183	0	0	794	390	6	213	462	7	522	0	26	52	158	22	35	29	419	1481	38	509	11	1302	1	28	158	1379	1321	267	22	262	12905
122nd Precinct	2011	8	1	84	0	105	3	0	29	14	0	17	12	4	46	0	0	5	6	0	1	3	20	142	0	20	1	57	1	10	5	62	15	9	3	83	758	5	788	0	2371	25	0	810	99	3	201	320	30	321	0	24	67	25	40	35	44	277	1348	31	587	26	1464	33	101	72	856	481	129	49	942	11604
123rd Precinct	2011	8	0	15	0	45	1	0	11	1	1	15	11	0	20	3	10	14	4	0	3	0	10	93	0	112	0	100	0	0	14	69	42	7	2	10	613	3	162	0	851	1	3	202	5	24	16	277	9	196	27	78	208	65	0	22	1	68	1042	19	1631	0	770	6	0	188	846	489	102	3	122	7436
Citywide	2011	8	70	1914	283	11616	108	15	8550	776	28	675	2172	87	1426	299	228	3265	145	581	89	289	1547	11664	22	4866	288	5335	651	184	466	4038	3795	744	284	3355	69855	1066	18770	5858	117335	1262	300	91513	6691	312	9951	30824	1204	14547	3580	3286	40140	1725	7617	1422	4008	14067	123817	2206	55540	3784	57853	6709	3121	4625	46507	40007	8518	3690	36820	768675
Transportation Bureau	2011	8	5	87	269	1530	91	0	2429	526	0	198	211	59	154	33	118	474	20	49	11	21	496	1391	8	3740	19	1454	27	7	145	309	432	111	59	1256	15739	75	717	5403	12280	1112	38	23696	3764	7	2981	4815	853	949	232	1644	10255	200	1280	209	186	3774	17043	475	44170	535	12847	479	20	1031	3041	4154	1205	821	13217	173508
